,Date,Revenue
0,2025-03-31,19335.0
1,2024-12-31,25707.0
2,2024-09-30,25182.0
3,2024-06-30,25500.0
4,2024-03-31,21301.0
5,2023-12-31,25167.0
6,2023-09-30,23350.0
7,2023-06-30,24927.0
8,2023-03-31,23329.0
9,2022-12-31,24318.0
10,2022-09-30,21454.0
11,2022-06-30,16934.0
12,2022-03-31,18756.0
13,2021-12-31,17719.0
14,2021-09-30,13757.0
15,2021-06-30,11958.0
16,2021-03-31,10389.0
17,2020-12-31,10744.0
18,2020-09-30,8771.0
19,2020-06-30,6036.0
20,2020-03-31,5985.0
21,2019-12-31,7384.0
22,2019-09-30,6303.0
23,2019-06-30,6350.0
24,2019-03-31,4541.0
25,2018-12-31,7226.0
26,2018-09-30,6824.0
27,2018-06-30,4002.0
28,2018-03-31,3409.0
29,2017-12-31,3288.0
30,2017-09-30,2985.0
31,2017-06-30,2790.0
32,2017-03-31,2696.0
33,2016-12-31,2285.0
34,2016-09-30,2298.0
35,2016-06-30,1270.0
36,2016-03-31,1147.0
37,2015-12-31,1214.0
38,2015-09-30,937.0
39,2015-06-30,955.0
40,2015-03-31,940.0
41,2014-12-31,957.0
42,2014-09-30,852.0
43,2014-06-30,769.0
44,2014-03-31,621.0
45,2013-12-31,615.0
46,2013-09-30,431.0
47,2013-06-30,405.0
48,2013-03-31,562.0
49,2012-12-31,306.0
50,2012-09-30,50.0
51,2012-06-30,27.0
52,2012-03-31,30.0
53,2011-12-31,39.0
54,2011-09-30,58.0
55,2011-06-30,58.0
56,2011-03-31,49.0
57,2010-12-31,36.0
58,2010-09-30,31.0
59,2010-06-30,28.0
60,2010-03-31,21.0
61,2009-09-30,46.0
62,2009-06-30,27.0
